"ID","장비명","시/도","시/군/구","읍/면/동","번지","상세주소","설치장소","RSRP AVG","SINR AVG","TX_PWR AVG","측정수 ","RF_Pot수","평균측정수"
"SIPS45427T","동창생7080라이브","부산광역시","동래구","사직동","144-1","동래역에서 중앙대로로 교대역방향으로 280M 이동 후 우회전하여 50M 이동 후 좌측건물","B1_화장실좌측안쪽벽면","-93.03999999999999","7.365","13.75","230.0","3.0","115.0"
"SIPS45318T","재영테크_L","부산광역시","동래구","명장동","610-25","원동IC에서 동래방면안락뜨란채사거리직진 500M국민으행에서 우회전후 400M직진후 명장도서관 방면 우회전 후 60M 직진후 좌측 여미마미용실 지하","B1_후문계단입구","-72.94","20.222","-9.28","530.0","10.0","106.0"
"SIPS45403T","동래안락탁구장_L","부산광역시","동래구","안락동","603-1","안락교차로에서 원동IC사거리방향으로 600M 직진후 우회전하여 150M이동후 좌회전하여 100M이동후 우측건물","B1_비상구좌측벽면","0.0","0.0","0.0","0.0","0.0","0.0"
"PIPS53221K","미정커피숍","부산광역시","동래구","수안동","9-1","동래삼성자동차지점블록뒷편","지하1층카운터위벽면","-78.91714285714286","11.307142857142859","0.19","200.0","14.0","28.0"
"PIPS31348K","동경쉐르빌102동1지하주차장","부산광역시","동래구","온천동","1447-8","미남로타리반도보라스카이뷰아파트옆거창손두부앞","1층휴게실벽면","-83.07222222222222","8.47","-2.597777777777778","1370.0","30.0","152.0"
"SIPS06080T","안락1차SK아파트3동_L","부산광역시","동래구","안락동","472-57","반여동원동IC에서안락동방면으로500M부근안락1차아파트","B1층공조실quraus","-81.78166666666667","6.8741666666666665","4.2475","890.0","26.0","74.0"
"PIPS02095K","종이용원","부산광역시","동래구","안락동","425-88","안락교차로부산은행뒷편석천아파트앞종이용원","지하1층출입구옆벽면","-91.73166666666667","5.281666666666667","6.245833333333334","1890.0","63.0","157.0"
"PIPS60591K","큰집야식지하","부산광역시","동래구","온천동","1435-15","부산 동래구 온천2동→온천새싹길→내산새싹길→부산 동래구 온천동 1435-15 (내산새싹6길 28)","지하1층 작업장 벽면","-80.36","19.053","-1.3989999999999998","2900.0","39.0","290.0"
"SIPS51660T","사직성산교회_L","부산광역시","동래구","사직동","600-1","사직운동장에서산쪽으로직진하다대진아파트쪽으로우회전후사직중학교옆","지하1층주차장입구쪽벽면","-84.4","4.69625","-2.83375","250.0","17.0","31.0"
"PIPS45245K","동진항공여행사","부산광역시","동래구","사직동","92-18","사직야구장앞맥도날드윗길로약50M우측모두투어지하","B1탕비실벽면","-73.53666666666666","17.163333333333334","-4.476666666666667","940.0","35.0","104.0"
"PIPS20250K","세신기전","부산광역시","동래구","사직동","113-22","미남로타리에서운동장방향사직1파사거리에서거제리방향좌회전운동장사거리에서교대방향으로좌회전후200M전방우측낙원예식장뒤3층건물","지하1층출입구옆벽면","-70.83333333333333","22.333333333333332","1.1666666666666667","70.0","5.0","23.0"
"PIPS00774K","야시포장센타","부산광역시","동래구","온천동","210-6","금문구이전문옆건물지하1층","지하1층홀벽면","-75.02272727272727","7.585454545454545","-3.716363636363636","580.0","43.0","52.0"
"SIPS05437T","강변뜨란채3단지106_L","부산광역시","동래구","안락동","1251-0","안락동주공강변뜨란채3단지지하주차장","106동지하주차장내려가서 제일 우측 유수검지장치실(？룸실)2P","-81.17222222222223","11.991111111111111","-2.1666666666666665","1290.0","34.0","143.0"
"SIPS05328T","안락뜨란체아파트2차3,4,5주차장_L","부산광역시","동래구","안락동","1242-0","안락로타리에서원동교방향한전가기우측편위치","5주차장지하1층중앙벽면","-83.3","10.11","-2.1119999999999997","200.0","10.0","40.0"
"SIPS40619T","프리존오피스텔2","부산광역시","동래구","온천동","1750-33","동래구온천동농협명륜역지점옆프리존오피스텔","15층엘레베이터앞EPS실벽면(철문뒤쪽)","-76.96384615384615","6.5030769230769225","-6.026923076923077","9380.0","126.0","721.0"
"PIPS20298K","나들이커피숍","부산광역시","동래구","수안동","275-8","동래고등학교가기전육교바로밑위치","지하1층창고좌측벽면","-78.19571428571429","11.617142857142856","-1.195714285714286","16070.0","94.0","2295.0"
"SIPS40728T","월드PCZONE_L","부산광역시","동래구","온천동","212-7","온천장SK허브올리브아파트에서온천1동주민센터방향으로250M전방우측건물","2층화장실입구좌측벽면","-72.37461538461538","16.43846153846154","-1.6138461538461537","3060.0","91.0","235.0"
"PIPS20274K","고성유통","부산광역시","동래구","안락동","435-21","안락로타리에서지하도로지나첫신호등들어가우측에위치","경북전업사 건물지하1층","-78.47166666666666","14.365","-4.75","170.0","8.0","28.0"
"SIPS05413T","온천로타리클럽_L","부산광역시","동래구","안락동","591-2","안락로타리에서해운대방면한전앞에서유턴국민은행지하에위치","국민은행 건물 지하1층 스크린골프장 화장실 앞 오피스룸 안 벽안","-78.535","10.995","-5.3374999999999995","9550.0","81.0","1193.0"
"SIPS40813T","M스튜디오_L","부산광역시","동래구","안락동","432-6","한전동래지점에서안락교차로방향으로600M직진후길가에문마트B1","지하1층비상계단위벽면","-72.96062500000001","12.909375","-10.185625000000002","6110.0","125.0","381.0"
"SIPS40704T","나눔터음악동호회_L","부산광역시","동래구","수안동","452-2","연산교차로에서충렬대로1.1KM직진후충렬대로237번길우회전후116M이동후목적지(452-2번지)","지하1층사무실옆에어실벽면","-85.48333333333333","8.234444444444444","4.102222222222222","480.0","31.0","53.0"
"PIPS45220K","금호탕기계실","부산광역시","동래구","사직동","140-13","57번버스종점에서금정시장방향으로우회전후700M지점에서다시우회전50M전방우측건물","지하1층기계실","-77.875","21.0825","-6.75","70.0","5.0","17.0"
"SIPS45428T","트로이","부산광역시","동래구","온천동","210-63","내성교차로에서 구서동방면 세원교차로 11시방향 좌회전 온천사거리 자회전 150M 직진후 우측에위치","F3_주방내벽면","-88.85111111111112","0.3966666666666667","-0.2222222222222222","320.0","21.0","35.0"
"PIPS53222K","경다방","부산광역시","동래구","수안동","162-1","동래경찰서정문앞에서전방20M부근","지하1층비상구쪽벽면","-77.18818181818182","13.368181818181819","-5.640909090909091","5030.0","90.0","457.0"
"PIPS60156T","힘찬병원 소스_L","부산광역시","동래구","수안동","275-7","요양병원 맞은편 힘찬병원","지하1층엘리베이터바라보고우측옆비상구계단안비트실안","-74.97818181818182","13.252727272727272","-5.6454545454545455","12690.0","93.0","1153.0"
"PIPS61159K","항공모함포장센터","부산광역시","동래구","안락동","797-1","안락교차로에서동래녹십자방향가기전우측블록","지하1층주방옆벽면","-78.8111111111111","8.187222222222223","-4.926666666666668","7550.0","140.0","419.0"
"SIPS06081T","현대온천_L","부산광역시","동래구","온천동","142-15","온천현대병원뒷편에서약100m부근에위치","지하1층주차장벽면","-77.974","3.84","1.05","280.0","22.0","56.0"
"SIPS06190T","가람서점_L","부산광역시","동래구","온천동","1436-5","부산 동래구 온천2동→온천새싹길→내산새싹길,중앙로→부산 동래구 온천동 1436-5 (중앙로 2397)","지하1층비상구계단벽면","-74.19352941176471","11.387647058823532","-6.2170588235294115","9130.0","187.0","537.0"
"PIPS31349K","동경쉐르빌102동2지하주차장","부산광역시","동래구","온천동","1447-8","미남로타리반도보라스카이뷰아파트옆거창손두부앞","1층휴게실벽면","-83.07222222222222","8.47","-2.597777777777778","1370.0","30.0","152.0"
"PIPS80092W","삼정그린코아스쿼시장","부산광역시","동래구","사직동","981-100","사직운동장에서 동인고방향 산복도로로 직진후 동인고보이면 그옆 삼정그린코아 단지내 위치","지하1층출입구옆벽면","-88.311","17.284000000000002","0.425","420.0","22.0","42.0"
"SIPS61779T","대한한백산악회_L","부산광역시","동래구","명장동","272-3","명장초등학교에서 좌측으로 150m직진후 환경빌라옆 건물","지하1층사무실우측벽면","-74.47","12.24","-5.9175","160.0","13.0","40.0"
"SIPS06418T","호걸이용원_L","부산광역시","동래구","사직동","153-10","사직동대선사거리모통이경주국밥옆건물","지하1층이용원에어콘좌측벽면","-70.1725","23.2175","-12.844166666666668","3940.0","98.0","328.0"
"PIPS90160K","덕경네오빌아파트주차장","부산광역시","동래구","안락동","466-19","충렬고등학교앞 덕경네오빌아파트","지하1층 전기실 안쪽 벽면","-83.17999999999999","13.176666666666668","1.2633333333333334","220.0","15.0","36.0"
"SIPS06745T","안락뜨란채1단지전기실_L","부산광역시","동래구","안락동","1240-0","안락로타리에서원동IC방향으로가다가안락뜨란채삼거리가기전우측방향안락뜨란채1단지전기실","전기실우측벽","-78.03230769230768","10.955384615384615","-3.0","250.0","19.0","19.0"
"SIPS06636T","미남스포렉스_L","부산광역시","동래구","온천동","1234-1","미남로타리에서미남역방면으로가다아이사랑의원가기전골몰으로우회전후200M가량직진후촤측편","지하1층보일러실중앙벽면","-80.784","8.119","2.4870000000000005","860.0","36.0","86.0"
"PIPS45377K","시골추어탕","부산광역시","동래구","온천동","192-20","온천1동세진베스트빌아파트옆1층","1층주방옆벽면","-81.145","4.074999999999999","3.2800000000000002","950.0","44.0","118.0"
"SIPS45091T","동래인공암벽장_LTE","부산광역시","동래구","명륜동","137-0","동래구 명륜동에서 명장동넘어가는 산복도로 정상지점 우회전 동래문화회관내 주차장 인공암벽장","2층실내인공암벽장정문우측벽면","0.0","0.0","0.0","0.0","0.0","0.0"
"SIPS52446T","7080나이트_L","부산광역시","동래구","안락동","423-1","안락교차로에서명장방향우측첫번째블록골목안입구부근","지하1층비상구옆벽면(뉴쉬리노래방)","-80.91799999999999","9.656","0.37299999999999967","4430.0","76.0","443.0"
"PIPS90099K","온천동래교회","부산광역시","동래구","온천동","707-0","동래역에서 온천2동주민센터방면 내산초교옆 록키동래아파트내 동래교회","지하1층복도벽면","-96.3","-0.65","7.55","120.0","8.0","24.0"
"SIPS05329T","안락교회_L","부산광역시","동래구","안락동","432-7","동래한전에서안락로타리방면으로가다로타리못가우회전또랑돼지국밥옆골목으로100M우측지점","지하1층펌프실벽면","-71.64636363636363","13.970909090909089","-10.618181818181817","4200.0","81.0","381.0"
"SIPS05414T","이스트프라자지하주차장_L","부산광역시","동래구","안락동","471-1","안락로타리에서해운대방향으로직진후동래한전지나200M전방현대아파트입구우측편건물","지하1층출입구옆벽면","-75.55799999999999","10.232","1.702","600.0","18.0","120.0"
"PIPS31434K","동경쉐르빌아파트101동지하주차장1","부산광역시","동래구","온천동","1447-8","미남로타리반도스카이뷰아파트후문앞경동아파트위치","지하2층전기실안벽면","-83.07222222222222","8.47","-2.597777777777778","1370.0","30.0","152.0"
"SIPS40705T","탑훼미리마트_L","부산광역시","동래구","온천동","212-9","부산대방향에서동래방향으로가다금강공원로우회전후250M전방우측건물","1층창고입구쪽뒤벽면","-72.952","15.938666666666666","-1.4053333333333333","4750.0","115.0","316.0"
"PIPS47228K","온천대가하이츠아파트","부산광역시","동래구","온천동","1468-6","구부산백화점자리 지나 좌회전 한아름예식장에서 우회전 바로 좌회전해서 세번째 사거리 우회전하면 미남초등학교 옆건물","지하1층환기구옆벽면","-84.206","11.737","0.75","260.0","21.0","26.0"
"SIPS80034K","낙민우성아파트102동지하주차장","부산광역시","동래구","낙민동","83-1","안락로타리에서연산로타리방향1KM지점좌측안민초등학교앞에위치","102동 지하1층 1~2라인 출구 앞 EPS실","-81.44166666666666","6.075833333333333","2.4516666666666667","500.0","36.0","41.0"
